Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-03-08,0,5,NULL,NULL,NULL
2020-03-09,10,7,NULL,NULL,NULL
2020-03-10,15,9,NULL,NULL,NULL
2020-03-11,85,20,NULL,NULL,NULL
2020-03-12,0,20,NULL,NULL,NULL
2020-03-13,0,19,NULL,NULL,NULL
2020-03-14,15,18,NULL,NULL,NULL
2020-03-15,4,18,NULL,NULL,NULL
2020-03-16,0,17,NULL,NULL,NULL
2020-03-17,14,17,NULL,NULL,NULL
2020-03-18,28,9,NULL,NULL,NULL
2020-03-19,22,12,NULL,NULL,NULL
2020-03-20,7,13,NULL,NULL,NULL
2020-03-21,20,14,NULL,NULL,NULL
2020-03-22,29,17,NULL,NULL,NULL
2020-03-23,43,23,NULL,NULL,NULL
2020-03-24,15,23,NULL,NULL,NULL
2020-03-25,27,23,NULL,NULL,NULL
2020-03-26,39,26,NULL,NULL,NULL
2020-03-27,8,26,NULL,NULL,NULL
2020-03-28,10,24,NULL,NULL,NULL
2020-03-29,23,24,NULL,NULL,NULL
2020-03-30,16,20,NULL,NULL,NULL
2020-03-31,52,25,NULL,NULL,NULL
2020-04-01,2,21,NULL,NULL,NULL
2020-04-02,74,26,NULL,NULL,NULL
2020-04-03,29,29,NULL,NULL,NULL
2020-04-04,16,30,NULL,NULL,NULL
2020-04-05,12,29,NULL,NULL,NULL
2020-04-06,56,34,NULL,NULL,NULL
2020-04-07,55,35,NULL,NULL,NULL
2020-04-08,12,36,NULL,NULL,NULL
2020-04-09,64,35,NULL,NULL,NULL
2020-04-10,38,36,NULL,NULL,NULL
2020-04-11,115,50,NULL,NULL,NULL
2020-04-12,96,62,NULL,NULL,NULL
2020-04-13,225,86,NULL,NULL,NULL
2020-04-14,167,102,NULL,NULL,NULL
2020-04-15,143,121,NULL,NULL,NULL
2020-04-16,29,116,NULL,NULL,NULL
2020-04-17,40,116,NULL,NULL,NULL
2020-04-18,33,105,NULL,NULL,NULL
2020-04-19,108,106,NULL,NULL,NULL
2020-04-20,26,78,NULL,NULL,NULL
2020-04-21,66,64,NULL,NULL,NULL
2020-04-22,54,51,NULL,NULL,NULL
2020-04-23,190,74,NULL,NULL,NULL
2020-04-24,301,111,NULL,NULL,NULL
2020-04-25,70,116,NULL,NULL,NULL
2020-04-26,59,109,NULL,NULL,NULL
2020-04-27,76,117,NULL,NULL,NULL
2020-04-28,88,120,NULL,NULL,NULL
2020-04-29,110,128,NULL,NULL,NULL
2020-04-30,119,118,NULL,NULL,NULL
2020-05-01,130,93,NULL,NULL,NULL
2020-05-02,114,99,NULL,NULL,NULL
2020-05-03,99,105,NULL,NULL,NULL
2020-05-04,150,116,NULL,NULL,NULL
2020-05-05,187,130,NULL,NULL,NULL
2020-05-06,214,145,NULL,NULL,NULL
2020-05-07,265,166,NULL,NULL,NULL
2020-05-08,245,182,NULL,NULL,NULL
2020-05-09,330,213,NULL,NULL,NULL
2020-05-10,167,223,NULL,NULL,NULL
2020-05-11,295,243,NULL,NULL,NULL
2020-05-12,295,259,NULL,NULL,NULL
2020-05-13,285,269,NULL,NULL,NULL
2020-05-14,382,286,NULL,NULL,NULL
2020-05-15,385,306,NULL,NULL,NULL
2020-05-16,164,282,NULL,NULL,NULL
2020-05-17,209,288,NULL,NULL,NULL
2020-05-18,228,278,NULL,NULL,NULL
2020-05-19,348,286,NULL,NULL,NULL
2020-05-20,356,296,NULL,NULL,NULL
