Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-03-05,0,1,NULL,NULL,NULL
2020-03-06,13,3,NULL,NULL,NULL
2020-03-07,0,3,NULL,NULL,NULL
2020-03-08,13,5,NULL,NULL,NULL
2020-03-09,55,13,NULL,NULL,NULL
2020-03-10,172,37,NULL,NULL,NULL
2020-03-11,180,62,NULL,NULL,NULL
2020-03-12,173,87,NULL,NULL,NULL
2020-03-13,187,111,NULL,NULL,NULL
2020-03-14,32,116,NULL,NULL,NULL
2020-03-15,39,120,NULL,NULL,NULL
2020-03-16,58,120,NULL,NULL,NULL
2020-03-17,92,109,NULL,NULL,NULL
2020-03-18,91,96,NULL,NULL,NULL
2020-03-19,109,87,NULL,NULL,NULL
2020-03-20,112,76,NULL,NULL,NULL
2020-03-21,83,83,NULL,NULL,NULL
2020-03-22,94,91,NULL,NULL,NULL
2020-03-23,58,91,NULL,NULL,NULL
2020-03-24,146,99,NULL,NULL,NULL
2020-03-25,144,107,NULL,NULL,NULL
2020-03-26,161,114,NULL,NULL,NULL
2020-03-27,177,123,NULL,NULL,NULL
2020-03-28,166,135,NULL,NULL,NULL
2020-03-29,198,150,NULL,NULL,NULL
2020-03-30,191,169,NULL,NULL,NULL
2020-03-31,284,189,NULL,NULL,NULL
2020-04-01,251,204,NULL,NULL,NULL
2020-04-02,283,221,NULL,NULL,NULL
2020-04-03,373,249,NULL,NULL,NULL
2020-04-04,323,272,NULL,NULL,NULL
2020-04-05,292,285,NULL,NULL,NULL
2020-04-06,314,303,NULL,NULL,NULL
2020-04-07,391,318,NULL,NULL,NULL
2020-04-08,331,330,NULL,NULL,NULL
2020-04-09,233,322,NULL,NULL,NULL
2020-04-10,184,295,NULL,NULL,NULL
2020-04-11,177,275,NULL,NULL,NULL
2020-04-12,178,258,NULL,NULL,NULL
2020-04-13,144,234,NULL,NULL,NULL
2020-04-14,193,206,NULL,NULL,NULL
2020-04-15,170,183,NULL,NULL,NULL
2020-04-16,198,178,NULL,NULL,NULL
2020-04-17,194,179,NULL,NULL,NULL
2020-04-18,169,178,NULL,NULL,NULL
2020-04-19,143,173,NULL,NULL,NULL
2020-04-20,131,171,NULL,NULL,NULL
2020-04-21,180,169,NULL,NULL,NULL
2020-04-22,217,176,NULL,NULL,NULL
2020-04-23,163,171,NULL,NULL,NULL
2020-04-24,137,163,NULL,NULL,NULL
2020-04-25,235,172,NULL,NULL,NULL
2020-04-26,130,170,NULL,NULL,NULL
2020-04-27,123,169,NULL,NULL,NULL
2020-04-28,153,165,NULL,NULL,NULL
2020-04-29,157,157,NULL,NULL,NULL
2020-04-30,150,155,NULL,NULL,NULL
2020-05-01,153,157,NULL,NULL,NULL
2020-05-02,96,137,NULL,NULL,NULL
2020-05-03,116,135,NULL,NULL,NULL
2020-05-04,147,139,NULL,NULL,NULL
2020-05-05,151,139,NULL,NULL,NULL
2020-05-06,117,133,NULL,NULL,NULL
2020-05-07,145,132,NULL,NULL,NULL
2020-05-08,135,130,NULL,NULL,NULL
2020-05-09,101,130,NULL,NULL,NULL
2020-05-10,110,129,NULL,NULL,NULL
2020-05-11,84,120,NULL,NULL,NULL
2020-05-12,78,110,NULL,NULL,NULL
2020-05-13,76,104,NULL,NULL,NULL
2020-05-14,46,90,NULL,NULL,NULL
